"year","month","time","hdi","hwi","hhi","hxi"
1500,1,1500.125,0,0,0,0
1500,2,1500.20833333333,0,0,0,0
1500,3,1500.29166666667,0,0,0,0
1500,4,1500.375,0,1,1,1
1500,5,1500.45833333333,0,1.340387,1.340387,1.340387
1500,6,1500.54166666667,-1.5,0,-1.5,-1.5
1500,7,1500.625,-2,0,-2,-2
1500,8,1500.70833333333,0,1.5,1.5,1.5
1500,9,1500.79166666667,0,1.340387,1.340387,1.340387
1500,10,1500.875,0,0,0,0
1500,11,1500.95833333333,0,1,1,1
1500,12,1501.04166666667,0,1.340387,1.340387,1.340387
1501,1,1501.125,0,0.670194,0.670194,0.670194
1501,2,1501.20833333333,0,0,0,0
1501,3,1501.29166666667,0,1,1,1
1501,4,1501.375,0,1.340387,1.340387,1.340387
1501,5,1501.45833333333,0,1.590945,1.590945,1.590945
1501,6,1501.54166666667,0,0.670194,0.670194,0.670194
1501,7,1501.625,0,0,0,0
1501,8,1501.70833333333,0,1.5,1.5,1.5
1501,9,1501.79166666667,0,1.340387,1.340387,1.340387
1501,10,1501.875,0,0,0,0
1501,11,1501.95833333333,0,1.796638,1.796638,1.796638
1501,12,1502.04166666667,0,2.381728,2.381728,2.381728
1502,1,1502.125,0,2.487896,2.487896,2.487896
1502,2,1502.20833333333,0,3,3,3
1502,3,1502.29166666667,0,3,3,3
1502,4,1502.375,0,2.84331,2.84331,2.84331
1502,5,1502.45833333333,0,2.646365,2.646365,2.646365
1502,6,1502.54166666667,0,2.40819,2.40819,2.40819
1502,7,1502.625,-1.5,0,-1.5,-1.5
1502,8,1502.70833333333,-2,0,-2,-2
1502,9,1502.79166666667,0,1,1,1
1502,10,1502.875,0,1.340387,1.340387,1.340387
1502,11,1502.95833333333,0,2,2,2
1502,12,1503.04166666667,0,2.245797,2.245797,2.245797
1503,1,1503.125,0,2.369195,2.369195,2.369195
1503,2,1503.20833333333,0,2.487896,2.487896,2.487896
1503,3,1503.29166666667,0,2.276043,2.276043,2.276043
1503,4,1503.375,-1,0,-1,-1
1503,5,1503.45833333333,-2,0,-2,-2
1503,6,1503.54166666667,-2.245797,0,-2.245797,-2.245797
1503,7,1503.625,-2.694956,0,-2.694956,-2.694956
1503,8,1503.70833333333,-2.369195,0,-2.369195,-2.369195
1503,9,1503.79166666667,0,1,1,1
1503,10,1503.875,0,2,2,2
1503,11,1503.95833333333,0,2.245797,2.245797,2.245797
1503,12,1504.04166666667,0,2.245797,2.245797,2.245797
1504,1,1504.125,0,2.76406,2.76406,2.76406
1504,2,1504.20833333333,0,3,3,3
1504,3,1504.29166666667,0,2.926341,2.926341,2.926341
1504,4,1504.375,-1.5,2.107166,0.607166,2.107166
1504,5,1504.45833333333,-2,0,-2,-2
1504,6,1504.54166666667,-2.694956,0,-2.694956,-2.694956
1504,7,1504.625,-3,0,-3,-3
1504,8,1504.70833333333,-3,0,-3,-3
1504,9,1504.79166666667,-2.84331,0,-2.84331,-2.84331
1504,10,1504.875,-2.601192,0,-2.601192,-2.601192
1504,11,1504.95833333333,-2.40819,0,-2.40819,-2.40819
1504,12,1505.04166666667,-2.249872,0,-2.249872,-2.249872
1505,1,1505.125,0,1,1,1
1505,2,1505.20833333333,0,1.340387,1.340387,1.340387
1505,3,1505.29166666667,0,0.670194,0.670194,0.670194
1505,4,1505.375,0,0,0,0
1505,5,1505.45833333333,0,0,0,0
1505,6,1505.54166666667,0,0,0,0
1505,7,1505.625,0,1.5,1.5,1.5
1505,8,1505.70833333333,0,2,2,2
1505,9,1505.79166666667,0,2.245797,2.245797,2.245797
1505,10,1505.875,0,2.694956,2.694956,2.694956
1505,11,1505.95833333333,0,2.369195,2.369195,2.369195
1505,12,1506.04166666667,0,2.132482,2.132482,2.132482
1506,1,1506.125,0,0,0,0
1506,2,1506.20833333333,0,0,0,0
1506,3,1506.29166666667,0,0,0,0
1506,4,1506.375,0,0,0,0
1506,5,1506.45833333333,0,0,0,0
1506,6,1506.54166666667,-1.5,0,-1.5,-1.5
1506,7,1506.625,-2,0,-2,-2
1506,8,1506.70833333333,-1.590945,0,-1.590945,-1.590945
1506,9,1506.79166666667,0,0,0,0
1506,10,1506.875,0,0,0,0
1506,11,1506.95833333333,0,0,0,0
1506,12,1507.04166666667,0,0,0,0
1507,1,1507.125,0,0,0,0
1507,2,1507.20833333333,0,0,0,0
1507,3,1507.29166666667,-1,0,-1,-1
1507,4,1507.375,-1.340387,0,-1.340387,-1.340387
1507,5,1507.45833333333,-0.670194,0,-0.670194,-0.670194
1507,6,1507.54166666667,-1.796638,0,-1.796638,-1.796638
1507,7,1507.625,-0.670194,1,0.329806,1
1507,8,1507.70833333333,0,0.670194,0.670194,0.670194
1507,9,1507.79166666667,-1,0,-1,-1
1507,10,1507.875,-1.340387,0,-1.340387,-1.340387
1507,11,1507.95833333333,-0.670194,0,-0.670194,-0.670194
1507,12,1508.04166666667,0,0,0,0
1508,1,1508.125,0,0,0,0
1508,2,1508.20833333333,0,0,0,0
1508,3,1508.29166666667,0,1,1,1
1508,4,1508.375,0,1.340387,1.340387,1.340387
1508,5,1508.45833333333,0,1.590945,1.590945,1.590945
1508,6,1508.54166666667,0,0.670194,0.670194,0.670194
1508,7,1508.625,0,1,1,1
1508,8,1508.70833333333,0,2.132482,2.132482,2.132482
1508,9,1508.79166666667,0,2.276043,2.276043,2.276043
1508,10,1508.875,0,2.107166,2.107166,2.107166
1508,11,1508.95833333333,0,2.249872,2.249872,2.249872
1508,12,1509.04166666667,0,2.117092,2.117092,2.117092
1509,1,1509.125,0,0,0,0
1509,2,1509.20833333333,0,0,0,0
1509,3,1509.29166666667,0,0,0,0
1509,4,1509.375,0,0,0,0
1509,5,1509.45833333333,0,0,0,0
1509,6,1509.54166666667,0,1,1,1
1509,7,1509.625,0,1.340387,1.340387,1.340387
1509,8,1509.70833333333,-1.5,0,-1.5,-1.5
1509,9,1509.79166666667,-2,0,-2,-2
1509,10,1509.875,-2.245797,0,-2.245797,-2.245797
1509,11,1509.95833333333,-2.694956,0,-2.694956,-2.694956
1509,12,1510.04166666667,-2.369195,0,-2.369195,-2.369195
1510,1,1510.125,-2.487896,0,-2.487896,-2.487896
1510,2,1510.20833333333,-2.601192,0,-2.601192,-2.601192
1510,3,1510.29166666667,-2.107166,1,-1.107166,-2.107166
1510,4,1510.375,0,0.670194,0.670194,0.670194
1510,5,1510.45833333333,0,1.590945,1.590945,1.590945
1510,6,1510.54166666667,0,1.340387,1.340387,1.340387
1510,7,1510.625,0,0,0,0
1510,8,1510.70833333333,0,0,0,0
1510,9,1510.79166666667,0,0,0,0
1510,10,1510.875,0,0,0,0
1510,11,1510.95833333333,-1,0,-1,-1
1510,12,1511.04166666667,0,1.5,1.5,1.5
1511,1,1511.125,0,1.340387,1.340387,1.340387
1511,2,1511.20833333333,0,2,2,2
1511,3,1511.29166666667,0,2.245797,2.245797,2.245797
1511,4,1511.375,0,1.590945,1.590945,1.590945
1511,5,1511.45833333333,0,2.132482,2.132482,2.132482
1511,6,1511.54166666667,0,2.276043,2.276043,2.276043
1511,7,1511.625,0,3,3,3
1511,8,1511.70833333333,0,3,3,3
1511,9,1511.79166666667,0,3.175638,3.175638,3.175638
1511,10,1511.875,0,3.005612,3.005612,3.005612
1511,11,1511.95833333333,0,2.646365,2.646365,2.646365
1511,12,1512.04166666667,0,2.117092,2.117092,2.117092
1512,1,1512.125,-1,0,-1,-1
1512,2,1512.20833333333,-2,0,-2,-2
1512,3,1512.29166666667,-1.590945,0,-1.590945,-1.590945
1512,4,1512.375,-1.796638,0,-1.796638,-1.796638
1512,5,1512.45833333333,0,1,1,1
1512,6,1512.54166666667,0,2,2,2
1512,7,1512.625,-1.5,0,-1.5,-1.5
1512,8,1512.70833333333,-2,0,-2,-2
1512,9,1512.79166666667,0,1.5,1.5,1.5
1512,10,1512.875,-1,1.340387,0.340387,1.340387
1512,11,1512.95833333333,-0.670194,0,-0.670194,-0.670194
1512,12,1513.04166666667,0,1.796638,1.796638,1.796638
1513,1,1513.125,0,2,2,2
1513,2,1513.20833333333,0,1.590945,1.590945,1.590945
1513,3,1513.29166666667,0,0,0,0
1513,4,1513.375,0,1,1,1
1513,5,1513.45833333333,0,0.670194,0.670194,0.670194
1513,6,1513.54166666667,-1,0,-1,-1
1513,7,1513.625,-0.670194,0,-0.670194,-0.670194
1513,8,1513.70833333333,-1,0,-1,-1
1513,9,1513.79166666667,-1.340387,0,-1.340387,-1.340387
1513,10,1513.875,-0.670194,0,-0.670194,-0.670194
1513,11,1513.95833333333,-2.245797,0,-2.245797,-2.245797
1513,12,1514.04166666667,-2,0,-2,-2
1514,1,1514.125,-2.84331,0,-2.84331,-2.84331
1514,2,1514.20833333333,0,1.5,1.5,1.5
1514,3,1514.29166666667,0,2,2,2
1514,4,1514.375,0,2,2,2
1514,5,1514.45833333333,0,2.694956,2.694956,2.694956
1514,6,1514.54166666667,0,2.369195,2.369195,2.369195
1514,7,1514.625,-1,0,-1,-1
1514,8,1514.70833333333,-0.670194,0,-0.670194,-0.670194
1514,9,1514.79166666667,0,2.107166,2.107166,2.107166
1514,10,1514.875,0,2.81234,2.81234,2.81234
1514,11,1514.95833333333,0,3.440274,3.440274,3.440274
1514,12,1515.04166666667,-1,3.005612,2.005612,3.005612
1515,1,1515.125,0,3.57294,3.57294,3.57294
1515,2,1515.20833333333,0,3.334744,3.334744,3.334744
1515,3,1515.29166666667,0,3.704911,3.704911,3.704911
1515,4,1515.375,0,4,4,4
1515,5,1515.45833333333,0,4,4,4
1515,6,1515.54166666667,0,4,4,4
1515,7,1515.625,0,4,4,4
1515,8,1515.70833333333,0,4,4,4
1515,9,1515.79166666667,-1.5,4,2.5,4
1515,10,1515.875,-0.670194,4,3.329806,4
1515,11,1515.95833333333,0,4,4,4
1515,12,1516.04166666667,0,4,4,4
1516,1,1516.125,-2,3.57294,1.57294,3.57294
1516,2,1516.20833333333,0,3.811136,3.811136,3.811136
1516,3,1516.29166666667,0,3.334744,3.334744,3.334744
1516,4,1516.375,-1,2.117092,1.117092,2.117092
