"year","month","time","spi1","spi2","spi3","spi4","spi5","spi6","spi7","spi8","spi9","spi10","spi11","spi12"
1500,1,1500.125,0,0,0,0,0,0,0,0,0,0,0,0
1500,2,1500.20833333333,0,0,0,0,0,0,0,0,0,0,0,0
1500,3,1500.29166666667,0,0,0,0,0,0,0,0,0,0,0,0
1500,4,1500.375,1,0.670194,0.530315,0.449159,0.394866,0.355414,0.325149,0.301024,0.281234,0.264636,0.250468,0.238196
1500,5,1500.45833333333,1,1.340387,1.06063,0.898319,0.789732,0.710827,0.650298,0.602047,0.562468,0.529273,0.500935,0.476392
1500,6,1500.54166666667,-2,-0.670194,0,0,0,0,0,0,0,0,0,0
1500,7,1500.625,-2,-2.680774,-1.590945,-0.898319,-0.789732,-0.710827,-0.650298,-0.602047,-0.562468,-0.529273,-0.500935,-0.476392
1500,8,1500.70833333333,2,0,-1.06063,-0.449159,0,0,0,0,0,0,0,0
1500,9,1500.79166666667,0,1.340387,0,-0.898319,-0.394866,0,0,0,0,0,0,0
1500,10,1500.875,0,0,1.06063,0,-0.789732,-0.355414,0,0,0,0,0,0
1500,11,1500.95833333333,1,0.670194,0.530315,1.347478,0.394866,-0.355414,0,0.301024,0.281234,0.264636,0.250468,0.238196
1500,12,1501.04166666667,1,1.340387,1.06063,0.898319,1.579463,0.710827,0,0.301024,0.562468,0.529273,0.500935,0.476392
1501,1,1501.125,0,0.670194,1.06063,0.898319,0.789732,1.421655,0.650298,0,0.281234,0.529273,0.500935,0.476392
1501,2,1501.20833333333,0,0,0.530315,0.898319,0.789732,0.710827,1.300596,0.602047,0,0.264636,0.500935,0.476392
1501,3,1501.29166666667,1,0.670194,0.530315,0.898319,1.184597,1.066241,0.975447,1.505119,0.843702,0.264636,0.500935,0.714588
1501,4,1501.375,1,1.340387,1.06063,0.898319,1.184597,1.421655,1.300596,1.204095,1.687404,1.058546,0.500935,0.714588
1501,5,1501.45833333333,1,1.340387,1.590945,1.347478,1.184597,1.421655,1.625745,1.505119,1.40617,1.852455,1.252338,0.714588
1501,6,1501.54166666667,0,0.670194,1.06063,1.347478,1.184597,1.066241,1.300596,1.505119,1.40617,1.323182,1.753274,1.19098
1501,7,1501.625,0,0,0.530315,0.898319,1.184597,1.066241,0.975447,1.204095,1.40617,1.323182,1.252338,1.667372
1501,8,1501.70833333333,2,1.340387,1.06063,1.347478,1.579463,1.777069,1.625745,1.505119,1.687404,1.852455,1.753274,1.667372
1501,9,1501.79166666667,0,1.340387,1.06063,0.898319,1.184597,1.421655,1.625745,1.505119,1.40617,1.587819,1.753274,1.667372
1501,10,1501.875,0,0,1.06063,0.898319,0.789732,1.066241,1.300596,1.505119,1.40617,1.323182,1.502806,1.667372
1501,11,1501.95833333333,2,1.340387,1.06063,1.796638,1.579463,1.421655,1.625745,1.806142,1.968638,1.852455,1.753274,1.905568
1501,12,1502.04166666667,2,2.680774,2.12126,1.796638,2.369195,2.132482,1.950894,2.107166,2.249872,2.381728,2.254209,2.143764
1502,1,1502.125,1,2.010581,2.651575,2.245797,1.974329,2.487896,2.276043,2.107166,2.249872,2.381728,2.504677,2.38196
1502,2,1502.20833333333,2,2.010581,2.651575,3.144116,2.76406,2.487896,2.926341,2.709214,2.531106,2.646365,2.755144,2.858352
1502,3,1502.29166666667,1,2.010581,2.12126,2.694956,3.158926,2.84331,2.601192,3.010237,2.81234,2.646365,2.755144,2.858352
1502,4,1502.375,0,0.670194,1.590945,1.796638,2.369195,2.84331,2.601192,2.40819,2.81234,2.646365,2.504677,2.620156
1502,5,1502.45833333333,0,0,0.530315,1.347478,1.579463,2.132482,2.601192,2.40819,2.249872,2.646365,2.504677,2.38196
1502,6,1502.54166666667,0,0,0,0.449159,1.184597,1.421655,1.950894,2.40819,2.249872,2.117092,2.504677,2.38196
1502,7,1502.625,-2,-1.340387,-1.06063,-0.898319,-0.394866,0.355414,0.650298,1.204095,1.687404,1.587819,1.502806,1.905568
1502,8,1502.70833333333,-1,-2.010581,-1.590945,-1.347478,-1.184597,-0.710827,0,0.301024,0.843702,1.323182,1.252338,1.19098
1502,9,1502.79166666667,1,0,-1.06063,-0.898319,-0.789732,-0.710827,-0.325149,0.301024,0.562468,1.058546,1.502806,1.429176
1502,10,1502.875,1,1.340387,0.530315,-0.449159,-0.394866,-0.355414,-0.325149,0,0.562468,0.793909,1.252338,1.667372
1502,11,1502.95833333333,2,2.010581,2.12126,1.347478,0.394866,0.355414,0.325149,0.301024,0.562468,1.058546,1.252338,1.667372
1502,12,1503.04166666667,1,2.010581,2.12126,2.245797,1.579463,0.710827,0.650298,0.602047,0.562468,0.793909,1.252338,1.429176
1503,1,1503.125,1,1.340387,2.12126,2.245797,2.369195,1.777069,0.975447,0.903071,0.843702,0.793909,1.001871,1.429176
1503,2,1503.20833333333,1,1.340387,1.590945,2.245797,2.369195,2.487896,1.950894,1.204095,1.124936,1.058546,1.001871,1.19098
1503,3,1503.29166666667,0,0.670194,1.06063,1.347478,1.974329,2.132482,2.276043,1.806142,1.124936,1.058546,1.001871,0.952784
1503,4,1503.375,-1,-0.670194,0,0.449159,0.789732,1.421655,1.625745,1.806142,1.40617,0.793909,0.751403,0.714588
1503,5,1503.45833333333,-2,-2.010581,-1.590945,-0.898319,-0.394866,0,0.650298,0.903071,1.124936,0.793909,0.250468,0.238196
1503,6,1503.54166666667,-2,-2.680774,-2.651575,-2.245797,-1.579463,-1.066241,-0.650298,0,0.281234,0.529273,0.250468,-0.238196
1503,7,1503.625,-1,-2.010581,-2.651575,-2.694956,-2.369195,-1.777069,-1.300596,-0.903071,-0.281234,0,0.250468,0
1503,8,1503.70833333333,0,-0.670194,-1.590945,-2.245797,-2.369195,-2.132482,-1.625745,-1.204095,-0.843702,-0.264636,0,0.238196
1503,9,1503.79166666667,1,0.670194,0,-0.898319,-1.579463,-1.777069,-1.625745,-1.204095,-0.843702,-0.529273,0,0.238196
1503,10,1503.875,2,2.010581,1.590945,0.898319,0,-0.710827,-0.975447,-0.903071,-0.562468,-0.264636,0,0.476392
1503,11,1503.95833333333,2,2.680774,2.651575,2.245797,1.579463,0.710827,0,-0.301024,-0.281234,0,0.250468,0.476392
1503,12,1504.04166666667,0,1.340387,2.12126,2.245797,1.974329,1.421655,0.650298,0,-0.281234,-0.264636,0,0.238196
1504,1,1504.125,2,1.340387,2.12126,2.694956,2.76406,2.487896,1.950894,1.204095,0.562468,0.264636,0.250468,0.476392
1504,2,1504.20833333333,2,2.680774,2.12126,2.694956,3.158926,3.198723,2.926341,2.40819,1.687404,1.058546,0.751403,0.714588
1504,3,1504.29166666667,0,1.340387,2.12126,1.796638,2.369195,2.84331,2.926341,2.709214,2.249872,1.587819,1.001871,0.714588
1504,4,1504.375,-2,-1.340387,0,0.898319,0.789732,1.421655,1.950894,2.107166,1.968638,1.587819,1.001871,0.476392
1504,5,1504.45833333333,-2,-2.680774,-2.12126,-0.898319,0,0,0.650298,1.204095,1.40617,1.323182,1.001871,0.476392
1504,6,1504.54166666667,-2,-2.680774,-3.18189,-2.694956,-1.579463,-0.710827,-0.650298,0,0.562468,0.793909,0.751403,0.476392
1504,7,1504.625,-1,-2.010581,-2.651575,-3.144116,-2.76406,-1.777069,-0.975447,-0.903071,-0.281234,0.264636,0.500935,0.476392
1504,8,1504.70833333333,-1,-1.340387,-2.12126,-2.694956,-3.158926,-2.84331,-1.950894,-1.204095,-1.124936,-0.529273,0,0.238196
1504,9,1504.79166666667,0,-0.670194,-1.06063,-1.796638,-2.369195,-2.84331,-2.601192,-1.806142,-1.124936,-1.058546,-0.500935,0
1504,10,1504.875,0,0,-0.530315,-0.898319,-1.579463,-2.132482,-2.601192,-2.40819,-1.687404,-1.058546,-1.001871,-0.476392
1504,11,1504.95833333333,0,0,0,-0.449159,-0.789732,-1.421655,-1.950894,-2.40819,-2.249872,-1.587819,-1.001871,-0.952784
